timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle
170,0.991047,0.985,0.393581,0.00790161,0.336173,0.718328,0.285145,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
175,0.991047,0.985,0.39463,0.00792207,0.338319,0.720188,0.282977,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
180,0.991047,0.985,0.395704,0.00794253,0.340905,0.722048,0.280353,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
185,0.991047,0.985,0.396774,0.00796299,0.343397,0.723908,0.277822,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
190,0.991047,0.985,0.39783,0.00798345,0.345662,0.725768,0.27552,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
195,0.991047,0.985,0.398874,0.00800391,0.347696,0.727628,0.273451,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
200,0.991047,0.985,0.399907,0.00802437,0.34953,0.729488,0.271583,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
205,0.991062,0.985,0.40093,0.00804483,0.35123,0.731348,0.26988,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
210,0.991046,0.985,0.401947,0.00806529,0.352743,0.733208,0.268311,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
215,0.991047,0.985,0.402957,0.00808575,0.35418,0.735068,0.266849,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
220,0.991047,0.985,0.403963,0.00810621,0.355532,0.736928,0.265472,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
225,0.991047,0.985,0.404965,0.00812667,0.356815,0.738788,0.264164,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
230,0.991046,0.985,0.405964,0.00814713,0.358041,0.740648,0.262911,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
235,0.990745,0.985,0.40696,0.00816759,0.358717,0.742508,0.261704,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
240,0.991059,0.985,0.407955,0.00818805,0.360396,0.744368,0.260534,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
245,0.991048,0.985,0.408947,0.00820851,0.361493,0.746228,0.259393,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
250,0.991047,0.985,0.409939,0.00822897,0.362584,0.748088,0.258277,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
255,0.991047,0.985,0.410929,0.00824943,0.363658,0.749948,0.257181,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
260,0.991047,0.985,0.411918,0.00826989,0.364715,0.751808,0.256102,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
265,0.991047,0.985,0.412907,0.00829035,0.365758,0.753668,0.255036,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
270,0.991056,0.985,0.413895,0.00831081,0.366808,0.755528,0.253982,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
275,0.991048,0.985,0.414882,0.00833127,0.367817,0.757388,0.252936,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
280,0.991047,0.985,0.415869,0.00835173,0.368829,0.759248,0.251898,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
285,0.991048,0.985,0.416856,0.00837219,0.369842,0.761108,0.250867,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
290,0.991047,0.985,0.417843,0.00839265,0.370842,0.762968,0.249841,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
295,0.991047,0.985,0.418829,0.00841311,0.371843,0.764828,0.248819,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
300,0.991047,0.985,0.419815,0.00843357,0.37284,0.766688,0.2478,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
305,0.991049,0.985,0.420801,0.00845403,0.373835,0.768548,0.246785,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
310,0.991059,0.985,0.421786,0.00847449,0.374847,0.770408,0.245772,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
315,0.991047,0.985,0.422772,0.00849495,0.375812,0.772268,0.244761,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
320,0.991057,0.985,0.423757,0.00851541,0.376817,0.774128,0.243752,0,0,0,0,0,0,0,23.6323,32.6638,33.3333,0,0,0,-1,9.141,-0.184,12.8635,0.0767482,0,0,0,22,0
