series,run,sr_pre,sr_min,sr_final,qi_final,atk_qquar,atk_epsilon
DET(200),1,0.99,0.815,0.96,0.977036,5.904,0.136901
DET(200),2,0.99,0.61,0.96,0.978339,8.86639,0.124946
DET(200),3,1.0,0.905,0.995,0.990479,10.8712,0.114035
DET(200),4,0.965,0.91,0.955,0.976872,12.483,0.0979257
DET(200),5,0.985,0.805,0.965,0.976505,11.2713,0.0893741
DET(200),6,0.985,0.905,0.96,0.963042,11.5233,0.0840921
DET(200),7,0.995,0.895,0.985,0.982092,12.0515,0.0767486
DET(200),8,0.955,0.81,0.93,0.969588,11.0504,0.0722128
DET(200),9,0.985,0.655,0.945,0.968336,10.5378,0.067945
DET(200),10,0.975,0.895,0.97,0.982951,10.4302,0.0659066
DET(200),11,1.0,0.81,0.985,0.9893,11.6559,0.0620115
DET(200),12,0.965,0.815,0.95,0.974605,12.1906,0.0583466
DET(200),13,0.975,0.61,0.935,0.968413,10.3863,0.0532514
DET(200),14,0.985,0.875,0.96,0.978514,10.7415,0.0486011
DET(200),15,0.995,0.935,0.985,0.985933,10.3037,0.0443569
DET(200),16,1.0,1.0,1.0,0.991286,13.0005,0.0404833
DET(200),17,0.975,0.84,0.96,0.973791,11.5363,0.036948
DET(200),18,0.985,0.825,0.97,0.982918,12.6445,0.0347644
DET(200),19,0.995,0.915,0.99,0.98838,11.6925,0.0337215
DET(200),20,0.975,0.975,0.975,0.980212,12.0261,0.0307767
DET(200),21,0.98,0.895,0.97,0.981421,12.0261,0.0280891
DET(200),22,0.995,0.89,0.99,0.982704,12.0261,0.0256362
DET(200),23,0.985,0.825,0.97,0.974649,12.0261,0.0233975
DET(200),24,0.97,0.715,0.94,0.977215,11.6209,0.0213543
DET(200),25,0.97,0.97,0.97,0.980288,11.7002,0.02
DET(200),26,0.965,0.705,0.935,0.970656,11.6209,0.02
DET(200),27,0.985,0.85,0.975,0.986205,13.1234,0.02
DET(200),28,0.995,0.825,0.975,0.980257,12.4987,0.02
DET(200),29,0.99,0.85,0.965,0.981645,13.759,0.02
DET(200),30,0.985,0.935,0.98,0.986558,15.4397,0.02
DET(200),31,1.0,0.835,0.985,0.985913,16.7842,0.02
DET(200),32,0.995,0.82,0.965,0.969861,16.7842,0.02
DET(200),33,0.995,0.82,0.98,0.98707,16.7842,0.02
DET(200),34,0.975,0.82,0.965,0.983108,16.7842,0.02
DET(200),35,0.995,0.84,0.965,0.98126,16.6207,0.02
DET(250),1,1.0,0.828,0.972,0.984685,6.7232,0.136901
DET(250),2,0.992,0.864,0.98,0.983916,7.90285,0.124946
DET(250),3,0.992,0.688,0.976,0.982009,9.74479,0.114035
DET(250),4,0.976,0.844,0.964,0.986065,9.86933,0.107296
DET(250),5,0.988,0.712,0.96,0.966665,10.9053,0.0979262
DET(250),6,0.98,0.824,0.964,0.978237,11.6062,0.0921388
DET(250),7,0.972,0.852,0.968,0.981409,11.028,0.0893746
DET(250),8,1.0,0.912,0.984,0.974204,10.4211,0.0840926
DET(250),9,0.996,0.84,0.984,0.981287,11.969,0.076749
DET(250),10,0.988,0.856,0.976,0.985229,12.2304,0.0700467
