series,run,qi_pre,sr_pre,qi_min,sr_min,qi_final,sr_final,leaders_down_total,orphans_peak,reallocate_final,suspects_total,atk_quar_total,atk_qquar,atk_epsilon,net_learning
N=200,1,0.992683,0.99,0.846907,0.815,0.977036,0.96,3,29,0,7,4,5.904,0.136901,0.981895
N=200,2,0.992677,0.99,0.805128,0.61,0.978339,0.96,3,70,0,6,4,8.86639,0.124946,0.951077
N=200,3,0.996366,1.0,0.939352,0.905,0.990479,0.995,1,18,0,5,4,10.8712,0.114035,0.986765
N=200,4,0.985222,0.965,0.949336,0.91,0.976872,0.955,1,9,0,5,3,12.483,0.0979257,0.950072
N=200,5,0.992688,0.985,0.881318,0.805,0.976505,0.965,2,32,0,6,5,11.2713,0.0893741,0.97794
N=200,6,0.991458,0.985,0.938011,0.905,0.963042,0.96,2,11,0,6,5,11.5233,0.0840921,0.959367
N=200,7,0.994067,0.995,0.932642,0.895,0.982092,0.985,1,18,0,6,5,12.0515,0.0767486,0.977196
N=200,8,0.981951,0.955,0.913607,0.81,0.969588,0.93,2,24,0,5,4,11.0504,0.0722128,0.952866
N=200,9,0.991002,0.985,0.825236,0.655,0.968336,0.945,4,60,0,4,4,10.5378,0.067945,0.960912
N=200,10,0.987859,0.975,0.932991,0.895,0.982951,0.97,1,15,0,1,1,10.4302,0.0659066,0.956778
N=200,11,0.99658,1.0,0.911337,0.81,0.9893,0.985,2,35,0,5,4,11.6559,0.0620115,0.966562
N=200,12,0.985779,0.965,0.914383,0.815,0.974605,0.95,2,29,0,4,3,12.1906,0.0583466,0.957807
N=200,13,0.98892,0.975,0.814956,0.61,0.968413,0.935,3,65,0,5,5,10.3863,0.0532514,0.971918
N=200,14,0.991974,0.985,0.927318,0.875,0.978514,0.96,2,19,0,6,5,10.7415,0.0486011,0.951799
N=200,15,0.994402,0.995,0.949815,0.935,0.985933,0.985,1,10,0,5,5,10.3037,0.0443569,0.963703
N=200,16,0.995061,1.0,0.984466,1.0,0.991286,1.0,0,0,0,7,5,13.0005,0.0404833,0.962162
N=200,17,0.989297,0.975,0.915476,0.84,0.973791,0.96,1,24,0,5,5,11.5363,0.036948,0.952516
N=200,18,0.991368,0.985,0.914369,0.825,0.982918,0.97,2,31,0,3,2,12.6445,0.0347644,0.982776
N=200,19,0.994265,0.995,0.948923,0.915,0.98838,0.99,1,15,0,3,3,11.6925,0.0337215,0.948284
N=200,20,0.988595,0.975,0.977493,0.975,0.980212,0.975,0,0,0,6,5,12.0261,0.0307767,0.953454
N=200,21,0.990413,0.98,0.922052,0.895,0.981421,0.97,1,15,0,4,4,12.0261,0.0280891,0.966678
N=200,22,0.994949,0.995,0.933386,0.89,0.982704,0.99,1,20,0,4,3,12.0261,0.0256362,0.978877
N=200,23,0.990997,0.985,0.914858,0.825,0.974649,0.97,2,31,0,3,3,12.0261,0.0233975,0.977858
N=200,24,0.987295,0.97,0.811293,0.715,0.977215,0.94,3,45,0,4,4,11.6209,0.0213543,0.982086
N=200,25,0.986342,0.97,0.974981,0.97,0.980288,0.97,0,0,0,5,4,11.7002,0.02,0.966179
N=200,26,0.985788,0.965,0.818743,0.705,0.970656,0.935,3,46,0,6,4,11.6209,0.02,0.964553
N=200,27,0.99191,0.985,0.919457,0.85,0.986205,0.975,1,25,0,7,5,13.1234,0.02,0.96335
N=200,28,0.994755,0.995,0.863986,0.825,0.980257,0.975,2,30,0,6,5,12.4987,0.02,0.977352
N=200,29,0.992626,0.99,0.926492,0.85,0.981645,0.965,2,25,0,7,5,13.759,0.02,0.973586
N=200,30,0.990795,0.985,0.945812,0.935,0.986558,0.98,1,9,0,6,4,15.4397,0.02,0.964628
N=200,31,0.994638,1.0,0.926475,0.835,0.985913,0.985,2,32,0,4,2,16.7842,0.02,0.964086
N=200,32,0.993554,0.995,0.909383,0.82,0.969861,0.965,2,29,0,4,4,16.7842,0.02,0.97594
N=200,33,0.994699,0.995,0.913824,0.82,0.98707,0.98,1,32,0,7,5,16.7842,0.02,0.980028
N=200,34,0.988144,0.975,0.910251,0.82,0.983108,0.965,2,30,0,2,1,16.7842,0.02,0.962378
N=200,35,0.994518,0.995,0.877018,0.84,0.98126,0.965,3,25,0,7,5,16.6207,0.02,0.951337
N=250,1,0.994739,1.0,0.914853,0.828,0.984685,0.972,3,36,0,7,5,6.7232,0.136901,0.97144
N=250,2,0.993656,0.992,0.93385,0.864,0.983916,0.98,2,30,0,3,2,7.90285,0.124946,0.97647
N=250,3,0.993369,0.992,0.852932,0.688,0.982009,0.976,3,72,0,3,1,9.74479,0.114035,0.745349
N=250,4,0.989485,0.976,0.92189,0.844,0.986065,0.964,2,30,0,4,3,9.86933,0.107296,0.967152
N=250,5,0.992785,0.988,0.861994,0.712,0.966665,0.96,3,62,0,8,5,10.9053,0.0979262,0.963648
N=250,6,0.99104,0.98,0.91709,0.824,0.978237,0.964,2,36,0,6,4,11.6062,0.0921388,0.969617
N=250,7,0.987394,0.972,0.925555,0.852,0.981409,0.968,1,29,0,2,2,11.028,0.0893746,0.96269
N=250,8,0.996003,1.0,0.93954,0.912,0.974204,0.984,2,18,0,4,4,10.4211,0.0840926,0.979075
N=250,9,0.995691,0.996,0.927177,0.84,0.981287,0.984,1,36,0,6,5,11.969,0.076749,0.973182
N=250,10,0.992345,0.988,0.930026,0.856,0.985229,0.976,1,30,0,6,5,12.2304,0.0700467,0.964393
N=250,11,0.973243,0.924,0.892002,0.772,0.963267,0.912,2,35,0,5,2,11.4275,0.0620118,0.953786
N=250,12,0.994629,0.992,0.936004,0.868,0.985761,0.976,2,27,0,6,4,10.5847,0.0565965,0.970094
N=250,13,0.991934,0.988,0.942847,0.928,0.982559,0.976,2,12,0,4,4,10.2395,0.0532516,0.97162
N=250,15,0.995641,1.0,0.895082,0.752,0.987398,0.98,2,57,0,5,4,11.9202,0.0486013,0.971775
N=250,16,0.995391,0.996,0.923986,0.828,0.98653,0.98,2,40,0,6,4,11.8851,0.045729,0.970327
N=250,18,0.990884,0.984,0.930692,0.856,0.98101,0.968,2,29,0,5,4,10.7721,0.0430264,0.973459
N=250,19,0.992541,0.988,0.917633,0.848,0.984602,0.972,2,33,0,8,5,13.2309,0.039269,0.973788
N=250,20,0.992753,0.988,0.91311,0.824,0.984604,0.972,2,37,0,7,5,12.2185,0.0347646,0.979197
N=250,21,0.987056,0.972,0.940387,0.88,0.98342,0.968,1,22,0,2,2,11.4198,0.0337217,0.967059
N=250,22,0.994215,0.996,0.937037,0.884,0.984884,0.984,2,26,0,5,3,10.7269,0.0317287,0.969845
N=250,23,0.981554,0.956,0.902309,0.776,0.975555,0.952,1,44,0,3,2,12.3699,0.0298535,0.972277
N=250,24,0.989837,0.98,0.921342,0.828,0.976038,0.968,1,35,0,6,5,12.3913,0.0272465,0.970627
N=250,25,0.987971,0.972,0.944655,0.912,0.979598,0.96,1,12,0,5,5,10.7836,0.0256362,0.963058
N=250,26,0.990066,0.98,0.925295,0.84,0.972805,0.976,1,34,0,3,3,10.4012,0.0241211,0.963662
N=250,27,0.989735,0.98,0.978712,0.98,0.988243,0.98,0,0,0,4,4,10.1643,0.0226955,0.970709
N=250,28,0.994307,0.992,0.930997,0.868,0.982319,0.972,3,30,0,5,3,11.543,0.0200922,0.962629
N=250,29,0.996013,1.0,0.875506,0.776,0.981151,0.984,2,52,0,3,3,9.25402,0.02,0.978195
N=250,30,0.992067,0.984,0.826902,0.672,0.979851,0.956,4,73,0,7,4,12.1104,0.02,0.972572
N=250,31,0.985633,0.964,0.910383,0.824,0.974241,0.952,1,32,0,6,5,12.6471,0.02,0.970936
N=250,32,0.994782,0.996,0.938628,0.908,0.973336,0.976,2,19,0,6,5,12.5026,0.02,0.9775
N=250,33,0.98623,0.968,0.916561,0.82,0.977141,0.956,2,36,0,7,3,13.0096,0.02,0.965727
N=250,34,0.9943,0.996,0.861518,0.784,0.978974,0.976,3,48,0,8,4,12.9501,0.02,0.967814
N=250,35,0.987134,0.972,0.949406,0.92,0.975163,0.964,1,11,0,5,4,11.2084,0.02,0.957337
FR (N=200),1,0.987608,0.975,0.776685,0.525,0.924211,0.94,6,84,0,2,1,2.0,0.141135,0.95304
FR (N=200),2,0.994076,0.995,0.827026,0.71,0.878196,0.95,7,51,0,8,3,4.88,0.12881,0.957161
FR (N=200),3,0.991514,0.985,0.874622,0.805,0.969013,0.965,2,32,0,6,5,6.7232,0.117561,0.976958
FR (N=200),4,0.99492,1.0,0.867036,0.785,0.877127,0.95,7,39,0,6,5,9.3012,0.107295,0.973726
FR (N=200),5,0.99325,0.99,0.91376,0.825,0.953455,0.97,2,29,0,5,4,9.43436,0.0979252,0.962099
FR (N=200),6,0.983826,0.96,0.861636,0.765,0.863749,0.91,7,32,0,4,4,9.54749,0.0893737,0.9411
FR (N=200),7,0.993749,0.995,0.841731,0.77,0.872996,0.945,7,35,0,7,5,12.8635,0.0767482,0.956837
FR (N=200),8,0.991047,0.985,0.77998,0.54,0.908697,0.94,4,80,0,8,6,11.5094,0.070046,0.958676
FR (N=200),9,0.994648,0.995,0.850025,0.785,0.854906,0.945,9,35,0,3,2,12.9834,0.0639291,0.954884
FR (N=200),10,0.993527,0.99,0.827812,0.715,0.87097,0.915,9,48,0,11,7,15.9491,0.050104,0.961451
FR (N=200),11,0.99292,0.99,0.915587,0.835,0.957703,0.975,2,29,0,4,3,13.1793,0.0471429,0.959851
FR (N=200),12,0.991586,0.985,0.872392,0.765,0.937577,0.97,3,41,0,6,5,13.4309,0.0404832,0.979535
FR (N=200),13,0.994503,0.995,0.823953,0.67,0.86868,0.93,7,52,0,13,10,13.4309,0.0327097,0.9463
FR (N=200),14,0.992914,0.99,0.884366,0.8,0.90522,0.945,6,35,0,6,5,12.7447,0.0289577,0.959578
