timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle
170,0.99387,0.995,0.378469,0.00627422,0.471553,0.697136,0.281079,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
175,0.993861,0.995,0.379369,0.00629159,0.470183,0.699066,0.282522,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
180,0.993861,0.995,0.380314,0.00630896,0.46978,0.700996,0.282972,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
185,0.993861,0.995,0.381279,0.00632633,0.469807,0.702926,0.282971,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
190,0.99386,0.995,0.382255,0.0063437,0.470071,0.704856,0.282718,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
195,0.993861,0.995,0.383239,0.00636107,0.470499,0.706786,0.282295,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
200,0.993861,0.995,0.384229,0.00637844,0.471054,0.708716,0.281741,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
205,0.993872,0.995,0.385224,0.00639581,0.471739,0.710646,0.281077,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
210,0.993863,0.995,0.386223,0.00641318,0.472464,0.712576,0.280323,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
215,0.993861,0.995,0.387225,0.00643055,0.473279,0.714506,0.279491,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
220,0.993861,0.995,0.388231,0.00644792,0.47416,0.716436,0.278595,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
225,0.993862,0.995,0.389238,0.00646529,0.475097,0.718366,0.277643,0,0,0,0,0,0,0,24.5725,33.1873,33.3333,0,0,0,-1,11.4053,-0.184,11.1266,0.02,0,0,0,18,0
