timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle
170,0.992375,0.99,0.389885,0.00781852,0.258175,0.710775,0.301024,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
175,0.992373,0.99,0.390723,0.00783876,0.256733,0.712615,0.302512,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
180,0.992372,0.99,0.391593,0.007859,0.255838,0.714455,0.303431,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
185,0.992373,0.99,0.392485,0.00787924,0.255343,0.716295,0.303938,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
190,0.992373,0.99,0.393395,0.00789948,0.255175,0.718135,0.304109,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
195,0.992372,0.99,0.39432,0.00791972,0.25525,0.719975,0.304028,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
200,0.992373,0.99,0.395254,0.00793996,0.255502,0.721815,0.303768,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
205,0.992387,0.99,0.396195,0.0079602,0.255895,0.723655,0.303382,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
210,0.992373,0.99,0.397141,0.00798044,0.256338,0.725495,0.302907,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
215,0.992373,0.99,0.398091,0.00800068,0.25686,0.727335,0.30237,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
220,0.992373,0.99,0.399043,0.00802092,0.257426,0.729175,0.301789,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
225,0.992373,0.99,0.399997,0.00804116,0.258025,0.731015,0.301175,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
230,0.992373,0.99,0.400952,0.0080614,0.258645,0.732855,0.300539,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
235,0.992386,0.99,0.401908,0.00808164,0.2593,0.734695,0.299885,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
240,0.992374,0.99,0.402864,0.00810188,0.259934,0.736535,0.299219,0,0,0,0,0,0,0,0,31.6792,0,0,0,0,-0.804,3.6,0.0368,13.6183,0.0921377,0,0,0,33,0
