timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle
170,0.994757,0.995,0.400713,0.00698698,0.452485,0.735471,0.276461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
175,0.994758,0.995,0.40183,0.00700522,0.455699,0.737391,0.27315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
180,0.994757,0.995,0.402915,0.00702346,0.458251,0.739311,0.270528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
185,0.994757,0.995,0.403976,0.0070417,0.460329,0.741231,0.268399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
190,0.994757,0.995,0.405022,0.00705994,0.462112,0.743151,0.266576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
195,0.994757,0.995,0.406061,0.00707818,0.463726,0.745071,0.264928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
200,0.994758,0.995,0.407094,0.00709642,0.46525,0.746991,0.263375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
205,0.99477,0.995,0.408126,0.00711466,0.466754,0.748911,0.261871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
210,0.994758,0.995,0.409156,0.0071329,0.468179,0.750831,0.260391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
215,0.994758,0.995,0.410186,0.00715114,0.469623,0.752751,0.258922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
220,0.994757,0.995,0.411215,0.00716938,0.471057,0.754671,0.257459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
225,0.994757,0.995,0.412245,0.00718762,0.472491,0.756591,0.255999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
230,0.994758,0.995,0.413274,0.00720586,0.473924,0.758511,0.254542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
235,0.994788,0.995,0.414303,0.0072241,0.475428,0.760431,0.253089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
240,0.994757,0.995,0.415332,0.00724234,0.476772,0.762351,0.251639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
245,0.994759,0.995,0.41636,0.00726058,0.478197,0.764271,0.250194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
250,0.994757,0.995,0.417389,0.00727882,0.479608,0.766191,0.248753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
255,0.994757,0.995,0.418417,0.00729706,0.481017,0.768111,0.247318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
260,0.994757,0.995,0.419445,0.0073153,0.482422,0.770031,0.245888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
265,0.994758,0.995,0.420473,0.00733354,0.483822,0.771951,0.244464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
270,0.99477,0.995,0.4215,0.00735178,0.485246,0.773871,0.243046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
275,0.994757,0.995,0.422527,0.00737002,0.486602,0.775791,0.241633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
280,0.994757,0.995,0.423554,0.00738826,0.487983,0.777711,0.240226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
285,0.994759,0.995,0.424581,0.0074065,0.489364,0.779631,0.238824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
290,0.994757,0.995,0.425607,0.00742474,0.490731,0.781551,0.237428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
295,0.994758,0.995,0.426633,0.00744298,0.492099,0.783471,0.236037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
300,0.994758,0.995,0.427659,0.00746122,0.49346,0.785391,0.234651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
305,0.994774,0.995,0.428684,0.00747946,0.494858,0.787311,0.23327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
310,0.99407,0.995,0.42971,0.0074977,0.494429,0.789231,0.231894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
315,0.994757,0.995,0.430735,0.00751594,0.497513,0.791151,0.230522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
320,0.994757,0.995,0.43176,0.00753418,0.498855,0.793071,0.229155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
325,0.994758,0.995,0.432785,0.00755242,0.500195,0.794991,0.227792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
330,0.994758,0.995,0.433809,0.00757066,0.501529,0.796911,0.226433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
335,0.994757,0.995,0.434833,0.0075889,0.502857,0.798831,0.225078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
340,0.993374,0.995,0.435858,0.00760714,0.500828,0.800751,0.223726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
345,0.992148,0.995,0.436882,0.00762538,0.498737,0.802671,0.222379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,19,0
350,0.931711,0.88,0.388958,0.00764143,0.484881,0.804361,0.22308,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,18,1
355,0.950028,0.945,0.416722,0.00805612,0.481593,0.805612,0.223673,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,18,1
360,0.942924,0.925,0.410139,0.00807402,0.511956,0.807402,0.216068,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,17,1
365,0.910284,0.83,0.371733,0.00849365,0.499739,0.808919,0.217778,29,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,17,1
370,0.921179,0.87,0.385741,0.00891195,0.533569,0.810178,0.219554,20,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,17,1
