timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,suspectsCount,actionsAttackerQuarantine,actionsAttackerDoNothing,qAtkDNHigh,qAtkQuarHigh,qAtkDNLow,qAtkQuarLow,atkEpsilon,smartTransferOk,smartTransferNoDonor,smartRedundancyOk,leadersAlive,leadersDownThisCycle
170,0.993478,0.988,0.393299,0.0091693,0.297858,0.694644,0.246845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
175,0.992836,0.988,0.393633,0.00919327,0.28845,0.69646,0.255533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
180,0.993477,0.988,0.394223,0.00921724,0.284543,0.698276,0.260351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
185,0.993477,0.988,0.394936,0.00924121,0.281626,0.700092,0.263315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
190,0.993477,0.988,0.395716,0.00926519,0.279725,0.701908,0.265248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
195,0.993477,0.988,0.39654,0.00928916,0.27847,0.703724,0.266521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
200,0.993477,0.988,0.397394,0.00931313,0.277673,0.70554,0.267332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
205,0.993487,0.988,0.398271,0.0093371,0.277224,0.707356,0.267803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
210,0.993476,0.988,0.399165,0.00936107,0.276999,0.709172,0.268017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
215,0.99348,0.988,0.400072,0.00938504,0.276987,0.710988,0.268034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
220,0.993477,0.988,0.400989,0.00940901,0.277116,0.712804,0.267899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
225,0.993477,0.988,0.401914,0.00943298,0.277366,0.71462,0.267645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,33,0
